kod_obce,nazev_obce,volici,vydane_obalky,platne_hlasy,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
558851,Dýšina,1 349,860,853,269,1,0,1,41,34,0,2,114,3,5,0,3,2,5,52,3,16,10,80,45,119,48,0,0
558966,Chrást,1 429,1 002,999,354,1,1,2,63,24,1,2,151,11,4,1,1,5,1,31,1,15,8,114,45,111,51,0,1
557846,Chválenice,561,369,369,104,1,0,0,21,8,0,1,50,3,7,0,0,2,0,13,2,7,7,29,38,52,21,0,3
559130,Kyšice,734,508,506,153,0,0,1,32,24,2,0,87,8,3,0,0,2,0,23,2,12,5,38,22,52,39,0,1
540561,Letkov,510,410,409,126,2,0,0,19,15,0,6,74,3,2,0,0,0,0,16,1,6,6,37,34,41,21,0,0
578606,Lhůta,144,114,114,31,0,0,0,13,1,0,2,16,3,1,0,0,0,0,8,1,2,4,13,4,6,9,0,0
558001,Losiná,1 051,665,659,218,1,0,0,48,15,0,1,115,8,4,2,0,1,2,26,2,15,8,63,28,70,32,0,0
540641,Mokrouše,191,139,138,36,0,0,1,12,5,0,0,19,2,1,0,0,2,0,7,0,1,2,13,7,15,14,0,1
553590,Nezbavětice,181,135,135,48,0,0,2,13,2,0,0,17,5,1,0,0,1,0,2,0,2,0,20,1,10,11,0,0
558141,Nezvěstice,1 156,770,767,270,2,0,0,56,28,0,4,72,5,3,1,0,1,3,33,1,7,10,68,41,77,85,0,0
554791,Plzeň,131 457,79 300,78 723,22 347,86,70,155,5 050,2 999,52,299,11 331,739,445,88,63,289,157,3 076,244,1 622,1 209,7 365,5 685,9 186,5 989,31,146
558371,Starý Plzenec,4 038,2 790,2 758,798,3,5,4,160,85,2,9,387,26,19,5,4,15,4,163,8,41,38,315,195,281,181,0,10
558427,Šťáhlavy,2 096,1 418,1 414,430,2,2,1,78,32,0,9,199,11,13,3,1,11,3,103,6,32,26,104,88,128,129,0,3
539741,Štěnovický Borek,436,313,313,74,2,1,3,15,8,2,0,58,0,4,1,0,4,1,21,1,7,4,34,20,24,27,0,2
558460,Tymákov,740,499,492,172,0,0,0,28,19,0,1,54,5,1,0,0,3,1,31,5,5,4,41,26,56,37,0,3
